,taxon_name_w_authors,v12_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species_w_author,v13_direct_accepted_name_w_author,v13_direct_accepted_species_w_author
4305,Mesembryanthemum lacunatum N.E.Br.,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia velutina (L.Bolus) Klak & P.C.van Wyk,Eberlanzia velutina (L.Bolus) Klak & P.C.van Wyk
6062,Myrica pumila (Michx.) Small,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera L.,Myrica pusilla Raf.,Myrica pusilla Raf.
8983,Piptadenia peregrina var. falcata (Benth.) Chodat & Hassl.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera falcata (Benth.) Speg.,Anadenanthera falcata (Benth.) Speg.
8984,Anadenanthera peregrina var. falcata (Benth.) Altschul,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera falcata (Benth.) Speg.,Anadenanthera falcata (Benth.) Speg.
8985,Anadenanthera falcata (Benth.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera peregrina (L.) Speg.,Anadenanthera falcata (Benth.) Speg.,Anadenanthera falcata (Benth.) Speg.
9687,Coprosma grandifolia Hook.f.,Coprosma lucida var. lucida,Coprosma lucida var. lucida,Coprosma lucida var. lucida,Coprosma lucida J.R.Forst. & G.Forst.,Coprosma grandifolia Hook.f.,Coprosma grandifolia Hook.f.
9823,Rubus foliosus var. monticola (Boulay) Sudre,Rubus foliosus Weihe,Rubus foliosus Weihe,Rubus foliosus Weihe,Rubus foliosus Weihe,Rubus pallidus Weihe,Rubus pallidus Weihe
9873,Quercus × tlemcenensis (A.DC.) Villar,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis Trab.
9874,Quercus mirbeckii f. tlemcenensis (A.DC.) Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis Trab.
9875,Quercus faginea var. tlemcenensis (A.DC.) Maire,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis Trab.
9876,Quercus faginea subsp. tlemcenensis (A.DC.) Maire & Weiller ex Greuter & Burdet,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis Trab.
9877,Quercus broteroi subsp. tlemcenensis (A.DC.) F.M.Vázquez & Coombes,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × numidica Trab.,Quercus × tlemcenensis Trab.,Quercus × tlemcenensis Trab.
10557,Coffea arabica var. angustifolia (Roxb.) Miq. ex A.Froehner,Pittosporum moluccanum (Lam.) Miq.,Pittosporum moluccanum (Lam.) Miq.,Pittosporum moluccanum (Lam.) Miq.,Pittosporum moluccanum (Lam.) Miq.,Pittosporum timorense Blume,Pittosporum timorense Blume
12995,Ficus courtallensis (Miq.) Baill.,Ficus arnottiana (Miq.) Miq.,Ficus arnottiana (Miq.) Miq.,Ficus arnottiana (Miq.) Miq.,Ficus arnottiana (Miq.) Miq.,Ficus hispida var. hispida,Ficus hispida L.f.
16894,Morella pumila (Michx.) Small,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera L.,Myrica pusilla Raf.,Myrica pusilla Raf.
16895,Cerothamnus pumilus (Michx.) Small,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera L.,Myrica pusilla Raf.,Myrica pusilla Raf.
17917,Rosa × involuta var. wilsonii (Borrer) Baker,Rosa × involuta Sm.,Rosa × involuta Sm.,Rosa × involuta Sm.,Rosa × involuta Sm.,Rosa × andrzeiowskii Steven ex Besser,Rosa × andrzeiowskii Steven ex Besser
18335,Passiflora foetida var. riparia (C.Wright ex Griseb.) Killip,Passiflora ciliata var. ciliata,Passiflora ciliata var. ciliata,Passiflora ciliata var. ciliata,Passiflora ciliata Aiton,Passiflora wrightiana H.T.Svoboda,Passiflora wrightiana H.T.Svoboda
22111,Lomandra micrantha var. sororia (Benth.) H.B.Will.,Lomandra micrantha subsp. tuberculata J.Everett,Lomandra micrantha subsp. tuberculata J.Everett,Lomandra micrantha subsp. tuberculata J.Everett,Lomandra micrantha (Endl.) Ewart,Lomandra oreophila B.J.Conn & A.L.Quirico,Lomandra oreophila B.J.Conn & A.L.Quirico
22112,Lomandra oreophila B.J.Conn & A.L.Quirico,Lomandra micrantha subsp. tuberculata J.Everett,Lomandra micrantha subsp. tuberculata J.Everett,Lomandra micrantha subsp. tuberculata J.Everett,Lomandra micrantha (Endl.) Ewart,Lomandra oreophila B.J.Conn & A.L.Quirico,Lomandra oreophila B.J.Conn & A.L.Quirico
22340,Polygala ariadnae Bernardi,Polygala mandonii Chodat,Polygala mandonii Chodat,Senega mandonii (Chodat) J.F.B.Pastore,Senega mandonii (Chodat) J.F.B.Pastore,Senega gracilis (Kunth) J.F.B.Pastore,Senega gracilis (Kunth) J.F.B.Pastore
23097,Paraspalathus simsiana (Eckl. & Zeyh.) C.Presl,Aspalathus araneosa L.,Aspalathus araneosa L.,Aspalathus araneosa L.,Aspalathus araneosa L.,Aspalathus callosa L.,Aspalathus callosa L.
23151,Polygala alba var. bicolor (Kunth) Chodat,Polygala alba Nutt.,Polygala alba Nutt.,Senega alba (Nutt.) J.F.B.Pastore & J.R.Abbott,Senega alba (Nutt.) J.F.B.Pastore & J.R.Abbott,Senega ambigua (Nutt.) J.F.B.Pastore & J.R.Abbott,Senega ambigua (Nutt.) J.F.B.Pastore & J.R.Abbott
